Categories,Menu Item,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Fiber (g),Sugar (g),Protein (g)
Breakfast,Chick-fil-A Chicken Biscuit,450,190,21,8,0,35,1310,50,4,5,17
Breakfast,Chick-n-Minis (4-count),350,120,13,35,0,55,860,38,2,7,19
Breakfast,Egg White Grill,300,70,7,3,0,55,970,31,1,1,25
Breakfast,"Bacon, Egg & Cheese Biscuit",420,190,21,11,0,170,1240,40,2,1,15
Breakfast,"Sausage, Egg & Cheese Biscuit",600,360,40,18,0,200,1520,41,3,1,20
Breakfast,Chicken Hash Brown Scramble Burrito w/Jalapeño Salsa,680,340,38,12,0,370,1680,50,5,1,35
Breakfast,Sausage Hash Brown Scramble Burrito w/Jalapeño Salsa,670,380,42,15,0,350,1410,46,5,1,26
Breakfast,Chicken Hash Brown Scramble Bowl w/Jalapeño Salsa,460,260,29,9,0,370,1220,21,4,1,31
Breakfast,Sausage Hash Brown Scramble Bowl w/Jalapeño Salsa,450,300,33,11,0,350,960,16,3,1,21
Breakfast,"Bacon, Egg & Cheese Muffin",300,110,12,5,0,170,710,31,1,1,16
Breakfast,"Sausage, Egg & Cheese Muffin",490,270,30,12,0,200,990,32,2,1,20
Breakfast,"Chicken, Egg & Cheese Bagel",480,170,18,5,0,195,1310,51,3,8,27
Breakfast,Hash Browns,240,140,16,15,0,5,360,22,4,0,3
Original and Grilled Entrees,Chick-fil-A Chicken Sandwich,440,170,19,4,0,60,1350,40,2,5,28
Original and Grilled Entrees,Chick-fil-A Deluxe Sandwich,500,210,23,7,0,75,1590,42,3,6,31
Original and Grilled Entrees,Spicy Chicken Sandwich,450,170,19,4,0,60,1620,41,1,5,29
Original and Grilled Entrees,Chick-fil-A Spicy Deluxe Sandwich,540,230,25,8,0,80,1760,43,2,6,34
Original and Grilled Entrees,Chick-fil-A Nuggets (8-count),260,110,12,25,0,75,980,9,1,0,28
Original and Grilled Entrees,Chick-fil-A Nuggets (12-count),390,170,18,4,0,115,1460,14,2,1,41
Original and Grilled Entrees,Chick-n-Strips (3-count),350,150,17,3,0,70,940,22,1,3,28
Original and Grilled Entrees,Chick-n-Strips (4-count),470,200,23,4,0,90,1250,29,1,4,37
Original and Grilled Entrees,Grilled Chicken Sandwich,310,50,6,2,0,55,820,36,3,7,29
Original and Grilled Entrees,Grilled Chicken Club Sandwich,430,140,16,8,0,85,1120,36,3,7,37
Original and Grilled Entrees,Grilled Nuggets (8-count),140,30,35,1,0,70,440,2,0,0,25
Original and Grilled Entrees,Grilled Nuggets (12-count),210,50,5,2,0,100,670,3,0,1,38
Original and Grilled Entrees,Grilled Chicken Cool Wrap,350,120,14,5,0,60,960,29,15,3,37
Salads,Grilled Market Salad,200,50,6,25,0,60,650,15,4,8,25
Salads,Grilled Market Salad w/Toppings,330,130,15,35,0,65,690,26,6,12,27
Salads,Cobb Salad,430,190,21,7,0,155,1290,22,5,5,39
Salads,Cobb Salad w/Toppings,510,250,27,7,0,155,1360,28,6,6,40
Salads,Spicy Southwest Salad,290,70,8,4,0,75,970,27,8,7,29
Salads,Spicy Southwest Salad w/Toppings,450,170,19,6,0,75,1070,37,10,8,34
Sides,Waf?e Potato Fries w/Sea Salt (Med),360,170,18,2,0,0,280,43,5,0,5
Sides,Waf?e Potato Fries w/Sea Salt (Lg),460,220,24,25,0,0,370,56,7,0,6
Sides,Fruit Cup (Med),45,0,0,0,0,0,0,12,2,9,0
Sides,Fruit Cup (Lg),80,5,0,0,0,0,0,20,4,15,1
Sides,Greek Yogurt Parfait w/Granola,230,80,9,35,0,25,85,28,2,21,12
Sides,Greek Yogurt Parfait w/Cookie Crumbs,210,70,8,35,0,25,95,26,1,21,11
Sides,Superfood Side w/ Toppings (Sm),150,80,9,1,0,0,180,18,2,12,3
Sides,Superfood Side w/o Toppings (Sm),90,25,25,0,0,0,180,15,2,11,2
Sides,Superfood Side w/ Toppings (Lg),190,90,9,1,0,0,250,25,3,18,4
Sides,Superfood Side w/o Toppings (Lg),130,30,35,5,0,0,250,23,2,16,3
Sides,Side Salad w/o Toppings,80,45,45,3,0,15,110,6,3,3,5
Sides,Side Salad w/ Toppings,160,100,11,35,0,15,180,12,3,3,6
Sides,Chicken Soup (Sm),130,30,35,1,0,35,990,15,2,1,9
Sides,Chicken Soup (Lg),240,60,6,25,0,70,1920,29,3,2,18
Treats,Vanilla Milkshake (Sm),500,190,21,13,0,70,370,67,0,66,11
